	WCC0	WCC1	WCC2	WCC3	WCR0	WCR1	WCR2	WCR3
ASV1	8186	10249	9061	7399	13673	2024	1179	1424
ASV3	610	627	674	513	1236	639	325	442
ASV4	0	0	0	0	0	9	24	94
ASV5	0	0	0	0	0	40	779	3290
ASV6	0	9	5	0	0	2347	624	821
ASV7	1319	561	546	502	307	34	245	243
ASV8	702	681	822	658	384	209	108	153
ASV9	0	0	0	0	0	327	935	2204
ASV11	470	472	365	298	809	155	94	96
ASV12	380	462	307	233	764	246	142	181
ASV14	0	0	0	0	0	0	8	11
ASV15	0	0	0	0	0	39	380	1671
ASV16	0	0	0	0	0	16	381	1599
ASV17	0	0	3	0	0	75	481	1602
ASV18	372	386	387	288	406	65	58	51
ASV19	418	240	236	156	541	138	54	102
ASV20	294	357	329	243	265	104	78	67
ASV21	0	0	0	0	0	90	357	1217
ASV22	0	0	0	0	0	0	0	186
ASV23	360	371	365	289	107	0	33	52
ASV24	269	391	484	396	62	0	0	0
ASV26	243	272	304	262	312	92	35	68
ASV27	494	251	281	232	172	39	0	0
ASV28	284	44	20	14	119	41	241	707
ASV29	362	291	296	249	165	0	0	86
ASV30	159	208	170	157	182	298	114	140
ASV31	372	267	291	243	130	0	0	42
ASV33	144	257	339	247	245	14	39	49
ASV34	0	0	0	0	0	138	307	850
ASV36	0	0	0	0	0	142	338	815
ASV37	232	269	317	228	159	0	41	48
ASV38	239	309	200	216	229	0	39	53
ASV40	143	273	253	282	69	98	62	105
ASV42	175	82	119	114	533	11	116	95
ASV44	0	0	0	0	0	98	244	859
ASV46	301	247	251	196	32	42	23	33
ASV47	203	213	261	229	103	0	45	49
ASV48	231	165	234	275	44	16	69	56
ASV49	6	50	0	32	0	428	109	151
ASV51	293	140	115	102	132	81	53	72
ASV52	0	0	0	0	5	0	0	0
ASV54	0	0	0	0	0	0	0	8
ASV55	0	0	0	0	0	12	45	137
ASV58	0	0	0	0	0	8	6	76
ASV59	0	0	0	0	0	80	194	558
ASV60	0	0	0	0	0	190	226	378
ASV61	0	0	0	0	0	454	159	214
ASV62	0	14	17	16	22	135	192	240
ASV63	201	128	155	130	200	0	0	0
ASV64	111	158	160	135	135	23	41	46
ASV66	22	64	87	67	40	251	95	135
ASV68	136	42	61	65	251	82	42	57
ASV69	94	92	99	57	256	50	39	42
ASV70	89	201	216	178	45	0	0	0
ASV71	0	0	0	0	0	16	32	82
ASV72	0	0	0	0	0	0	8	64
ASV76	0	0	0	0	0	0	0	49
ASV77	0	0	0	0	0	0	0	9
ASV79	0	0	0	0	0	0	0	38
ASV80	140	95	135	107	83	44	39	38
ASV81	0	0	0	0	0	123	202	344
ASV82	100	119	148	78	227	0	0	0
ASV83	79	111	146	119	215	0	0	0
ASV84	234	74	77	129	80	0	32	41
ASV85	0	0	0	0	0	0	0	16
ASV86	135	121	52	53	214	80	0	0
ASV88	0	0	0	0	0	0	142	505
ASV89	0	0	0	0	0	0	0	76
ASV90	0	0	0	0	0	0	14	52
ASV91	0	0	0	0	0	0	0	30
ASV92	0	0	0	0	0	0	0	32
ASV94	167	44	35	41	326	0	0	0
ASV96	134	84	97	90	72	0	46	51
ASV97	0	0	0	0	0	33	143	396
ASV98	95	140	140	120	69	0	0	0
ASV99	20	69	38	29	189	101	42	39
ASV102	49	121	92	96	52	60	27	50
ASV103	0	0	0	0	0	314	94	139
ASV105	0	0	0	0	0	29	110	393
ASV106	74	101	101	74	60	45	35	30
ASV107	0	0	0	0	0	0	0	18
ASV108	167	80	107	100	53	0	0	0
ASV110	51	115	124	90	93	0	16	13
ASV111	68	73	114	143	83	0	0	17
ASV112	0	0	0	0	0	0	0	51
ASV113	199	48	51	67	86	0	0	25
ASV114	121	74	75	88	45	0	29	38
ASV115	0	0	0	0	0	0	0	27
ASV118	0	0	0	0	0	0	21	76
ASV120	0	0	0	0	0	0	19	79
ASV122	0	0	0	0	0	29	69	175
ASV123	70	87	86	72	100	5	8	15
ASV124	0	0	0	0	0	206	95	120
ASV125	0	0	0	0	0	0	0	49
ASV130	0	71	92	50	85	37	35	42
ASV132	0	0	0	0	0	0	0	32
ASV134	0	0	0	0	0	7	25	75
ASV136	64	70	110	65	79	0	0	0
ASV138	118	36	61	41	107	0	0	22
ASV140	0	0	32	33	0	41	113	158
ASV142	0	0	0	0	0	0	19	70
ASV143	111	46	80	88	35	0	0	0
ASV145	0	0	0	0	0	0	0	5
ASV147	67	90	79	63	56	0	0	0
ASV148	78	67	78	35	78	0	9	0
ASV149	0	0	0	0	0	0	33	187
ASV150	30	16	16	11	40	94	47	90
ASV151	0	0	0	0	0	0	0	25
ASV153	82	52	92	73	0	0	19	20
ASV154	0	112	114	105	0	0	0	0
ASV156	231	10	0	10	0	0	16	63
ASV157	0	0	0	0	0	0	0	17
ASV159	59	40	75	53	70	0	13	15
ASV160	0	0	0	0	0	0	7	23
ASV161	56	59	42	50	94	0	10	14
ASV164	41	70	73	53	83	0	0	0
ASV165	0	0	0	0	0	0	0	38
ASV166	40	96	71	74	38	0	0	0
ASV167	34	63	73	54	54	0	20	20
ASV168	71	64	65	53	44	0	0	18
ASV169	40	61	72	36	47	29	0	28
ASV170	41	62	55	44	42	18	17	33
ASV173	53	45	73	65	57	0	0	15
ASV174	79	33	51	67	29	0	25	23
ASV177	0	0	0	0	0	69	47	83
ASV178	0	0	0	0	0	0	0	13
ASV179	6	21	16	6	0	38	40	64
ASV182	0	0	23	41	15	42	0	27
ASV183	27	67	98	81	21	0	0	0
ASV184	41	51	80	71	14	14	0	21
ASV185	0	0	0	0	0	0	0	11
ASV187	0	0	0	0	0	0	0	7
ASV189	17	19	22	17	0	55	56	88
ASV190	85	0	0	0	19	42	40	96
ASV191	0	0	0	0	0	0	0	36
ASV192	0	0	0	0	0	179	62	40
ASV193	44	0	0	0	0	0	0	15
ASV197	0	0	0	0	0	0	0	53
ASV198	0	0	0	0	0	13	94	170
ASV199	0	0	0	0	0	0	0	52
ASV200	0	103	77	62	15	0	8	0
ASV201	54	55	52	74	35	0	0	0
ASV203	0	0	0	0	0	22	67	180
ASV205	62	82	60	45	0	0	0	0
ASV206	41	42	39	41	35	25	21	23
ASV208	0	0	0	0	0	0	0	19
ASV209	0	0	0	0	0	0	49	213
ASV212	12	58	75	57	32	13	0	12
ASV215	0	0	0	8	0	0	0	0
ASV216	65	29	42	44	11	28	15	20
ASV220	0	44	63	59	46	0	0	33
ASV221	0	0	0	0	0	0	0	18
ASV222	0	0	0	0	0	0	0	26
ASV225	0	0	0	0	0	0	8	35
ASV230	37	55	67	36	35	0	0	0
ASV231	25	40	47	56	61	0	0	0
ASV233	17	24	39	35	66	6	15	26
ASV239	0	78	76	64	0	0	0	0
ASV246	0	0	0	0	0	18	33	166
ASV247	43	27	44	31	71	0	0	0
ASV248	0	0	0	0	0	64	33	66
ASV249	0	0	0	0	0	0	0	11
ASV253	57	0	41	0	49	31	24	10
ASV256	0	19	0	0	80	38	30	24
ASV257	88	47	0	31	0	0	0	44
ASV258	0	0	0	0	0	0	0	15
ASV262	48	57	56	0	46	0	0	0
ASV263	0	0	0	0	0	0	6	44
ASV267	0	0	0	0	0	0	0	23
ASV268	0	0	0	0	0	0	0	57
ASV270	28	51	56	49	17	0	0	2
ASV275	23	0	0	0	0	45	48	83
ASV277	0	0	0	0	0	0	0	30
ASV279	56	40	47	33	0	0	21	0
ASV280	25	16	53	41	62	0	0	0
ASV282	0	0	0	0	0	0	0	11
ASV284	48	60	28	59	0	0	0	0
ASV288	0	0	0	0	0	0	0	20
ASV289	0	0	0	0	0	0	44	109
ASV291	0	0	0	0	0	0	0	23
ASV293	0	60	71	58	0	0	0	0
ASV294	0	52	62	53	22	0	0	0
ASV295	0	0	0	0	0	0	0	46
ASV296	29	18	36	20	79	6	0	0
ASV298	51	22	18	24	59	0	5	8
ASV300	0	0	0	0	0	0	0	66
ASV302	73	0	0	0	105	0	7	0
ASV307	40	10	28	47	34	6	0	18
ASV308	0	22	12	23	60	41	11	14
ASV310	0	50	43	0	89	0	0	0
ASV313	9	11	10	8	63	0	38	41
ASV317	0	0	0	8	0	0	0	9
ASV318	0	0	0	0	0	0	44	134
ASV320	0	0	0	4	170	0	0	0
ASV321	0	0	0	0	0	0	0	80
ASV323	17	43	36	43	30	0	0	0
ASV324	9	13	17	12	79	18	8	9
ASV326	0	0	0	0	0	0	0	63
